Parameters,CoDACl Scores,CoDAPCA Scores,CLRPCA Scores,PCA Scores,Naive Scores,CoDACl Val Loss,CoDACl Train Loss
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 100 num_features 20 low_dimension 5","[0.5527426160337553, 0.004219409282700422, 0.26582278481012656, 0.029661016949152543]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.9101139, dtype=float32), array(1.8995831, dtype=float32)]","[array(1.8680586, dtype=float32), array(1.8587683, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 200 num_features 20 low_dimension 5","[0.5443037974683544, 0.32489451476793246, 0.47257383966244726, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.6329757, dtype=float32), array(1.6213539, dtype=float32), array(1.6098233, dtype=float32), array(1.5983375, dtype=float32)]","[array(1.6632302, dtype=float32), array(1.6532573, dtype=float32), array(1.6432894, dtype=float32), array(1.6333332, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 300 num_features 20 low_dimension 5","[0.10970464135021098, 0.004219409282700422, 0.02109704641350211, 0.16101694915254236]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.9258915, dtype=float32), array(1.9125489, dtype=float32), array(1.8994094, dtype=float32), array(1.886145, dtype=float32), array(1.8725855, dtype=float32), array(1.8586068, dtype=float32)]","[array(1.8963944, dtype=float32), array(1.8855176, dtype=float32), array(1.8747284, dtype=float32), array(1.8638207, dtype=float32), array(1.8526511, dtype=float32), array(1.8411158, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 400 num_features 20 low_dimension 5","[0.14767932489451477, 0.32489451476793246, 0.4767932489451477, 0.3983050847457627]","[0.5485232067510548, 0.3333333333333333, 0.47257383966244726, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.7870935, dtype=float32), array(1.7751611, dtype=float32), array(1.7630621, dtype=float32), array(1.7505977, dtype=float32), array(1.7376789, dtype=float32), array(1.7243474, dtype=float32), array(1.710581, dtype=float32), array(1.6963458, dtype=float32)]","[array(1.8579502, dtype=float32), array(1.8482208, dtype=float32), array(1.8381193, dtype=float32), array(1.8275746, dtype=float32), array(1.8165605, dtype=float32), array(1.8050894, dtype=float32), array(1.7931753, dtype=float32), array(1.7808249, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 500 num_features 20 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.0970464135021097, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.6723908, dtype=float32), array(1.6584828, dtype=float32), array(1.6447412, dtype=float32), array(1.6309223, dtype=float32), array(1.6169413, dtype=float32), array(1.6027781, dtype=float32), array(1.5884364, dtype=float32), array(1.5739619, dtype=float32), array(1.5594507, dtype=float32), array(1.5450361, dtype=float32)]","[array(1.6851777, dtype=float32), array(1.6734731, dtype=float32), array(1.6619556, dtype=float32), array(1.6504241, dtype=float32), array(1.6388373, dtype=float32), array(1.6271919, dtype=float32), array(1.6154981, dtype=float32), array(1.6037962, dtype=float32), array(1.5921649, dtype=float32), array(1.5807164, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 1000 num_features 20 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.8915144, dtype=float32), array(1.8741667, dtype=float32), array(1.8585484, dtype=float32), array(1.8441925, dtype=float32), array(1.8307871, dtype=float32), array(1.8181564, dtype=float32), array(1.8061644, dtype=float32), array(1.7946784, dtype=float32), array(1.7836118, dtype=float32), array(1.7728668, dtype=float32), array(1.7623161, dtype=float32), array(1.7518275, dtype=float32), array(1.7412448, dtype=float32), array(1.7304167, dtype=float32), array(1.7191962, dtype=float32), array(1.707482, dtype=float32), array(1.6952482, dtype=float32), array(1.6824557, dtype=float32), array(1.6690911, dtype=float32), array(1.6552314, dtype=float32)]","[array(1.8822614, dtype=float32), array(1.8667326, dtype=float32), array(1.8527212, dtype=float32), array(1.8398179, dtype=float32), array(1.8277754, dtype=float32), array(1.8164568, dtype=float32), array(1.8057574, dtype=float32), array(1.7955685, dtype=float32), array(1.7858189, dtype=float32), array(1.776425, dtype=float32), array(1.7672788, dtype=float32), array(1.758266, dtype=float32), array(1.7492578, dtype=float32), array(1.7401261, dtype=float32), array(1.7307436, dtype=float32), array(1.7210181, dtype=float32), array(1.7109149, dtype=float32), array(1.7003903, dtype=float32), array(1.6894301, dtype=float32), array(1.6780943, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-11 epochs 100 num_features 20 low_dimension 5","[0.10970464135021098, 0.32489451476793246, 0.16455696202531644, 0.11864406779661017]","[0.5485232067510548, 0.3333333333333333, 0.4641350210970464, 0.4194915254237288]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.7819778, dtype=float32), array(1.7687014, dtype=float32)]","[array(1.7563716, dtype=float32), array(1.7354004, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-11 epochs 200 num_features 20 low_dimension 5","[0.008438818565400843, 0.32489451476793246, 0.16455696202531644, 0.3305084745762712]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.7302768, dtype=float32), array(1.717072, dtype=float32), array(1.704389, dtype=float32), array(1.6918769, dtype=float32)]","[array(1.8031578, dtype=float32), array(1.7808876, dtype=float32), array(1.7590141, dtype=float32), array(1.7373661, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-11 epochs 300 num_features 20 low_dimension 5","[0.15611814345991562, 0.05063291139240506, 0.4767932489451477, 0.19915254237288135]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.6470381, dtype=float32), array(1.6355058, dtype=float32), array(1.6244363, dtype=float32), array(1.6136434, dtype=float32), array(1.602865, dtype=float32), array(1.591873, dtype=float32)]","[array(1.7126946, dtype=float32), array(1.6944789, dtype=float32), array(1.6766533, dtype=float32), array(1.6589539, dtype=float32), array(1.6410831, dtype=float32), array(1.6227335, dtype=float32)]"
"trial0 nn [[15], [15]] lr 0.0001 lam 1e-11 epochs 400 num_features 20 low_dimension 5","[0.10970464135021098, 0.13924050632911392, 0.25316455696202533, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.6517563, dtype=float32), array(1.6381451, dtype=float32), array(1.6254033, dtype=float32), array(1.6131917, dtype=float32), array(1.6013515, dtype=float32), array(1.5898081, dtype=float32), array(1.5784031, dtype=float32), array(1.5669886, dtype=float32)]","[array(1.7498273, dtype=float32), array(1.7262704, dtype=float32), array(1.7038414, dtype=float32), array(1.6820098, dtype=float32), array(1.6605048, dtype=float32), array(1.6392256, dtype=float32), array(1.6178972, dtype=float32), array(1.596279, dtype=float32)]"
